Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
RMF FM,Konin Żółwieniec,98.9,"18E19'40""","52N23'55""",WGS84,30.19951720402015,265.0,18.327778,52.398611,POINT (18.327778 52.398611)
Radio Maryja,Konin Żółwieniec,105.1,"18E19'40""","52N23'55""",WGS84,30.19951720402015,265.0,18.327778,52.398611,POINT (18.327778 52.398611)
Radio Maryja,"Konin, ul.11 Listopada",105.1,"18E16'19""","52N13'49""",WGS84,0.7943282347242815,53.0,18.271944,52.230278,POINT (18.271944 52.230278)
Radio ZET,Konin Żółwieniec,107.1,"18E19'40""","52N23'55""",WGS84,30.19951720402015,265.0,18.327778,52.398611,POINT (18.327778 52.398611)
RMF FM,Koszalin Gołogóra,89.3,"16E44'20""","54N00'14""",WGS84,60.255958607435765,166.0,16.738889,54.003889,POINT (16.738889 54.003889)
Radio ZET,Koszalin Gołogóra,105.3,"16E44'20""","54N00'14""",WGS84,30.19951720402015,193.0,16.738889,54.003889,POINT (16.738889 54.003889)
Radio ZET,Koszalin Gołogóra,105.3,"16E44'20""","54N00'14""",WGS84,30.19951720402015,193.0,16.738889,54.003889,POINT (16.738889 54.003889)
Program 1,Gołogóra,107.9,"16E44'20""","54N00'14""",WGS84,60.255958607435765,192.0,16.738889,54.003889,POINT (16.738889 54.003889)
Radio ZET,Koszalin G. Chełmska,88.7,"16E13'35""","54N12'14""",WGS84,1.0,87.0,16.226389,54.203889,POINT (16.226389 54.203889)
Radio ZET,Koszalin Góra Chełmska,88.7,"16E13'35""","54N12'14""",WGS84,1.0,87.0,16.226389,54.203889,POINT (16.226389 54.203889)
Radio Kołobrzeg,Stramnica k/Kołobrzegu,90.2,"15E38'13""","54N08'58""",WGS84,1.0,48.0,15.636944,54.149444,POINT (15.636944 54.149444)
Radio PLUS Koszalin,Koszalin Chełmska Góra,102.6,"16E13'27""","54N12'26""",WGS84,1.0,34.0,16.224167,54.207222,POINT (16.224167 54.207222)
