Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
Akademickie Radio INDEX,"Zielona Góra, ul. Lubuska 2",96.0,"15E31'36""","51N56'10""",WGS84,1.0,35.0,15.526667,51.936111,POINT (15.526667 51.936111)
TWOJE RADIO ZŁOTE PRZEBOJE,Wilkanowo k. Zielonej Góry,98.1,"15E27'41""","51N54'50""",WGS84,0.09999999999999998,70.0,15.461389,51.913889,POINT (15.461389 51.913889)
Radio Maryja,Wolsztyn ul. Fabryczna 16,98.7,"16E06'58""","52N06'10""",WGS84,0.19952623149688797,60.0,16.116111,52.102778,POINT (16.116111 52.102778)
RMF MAXXX - Lubuskie,Zielona Góra ul. Ptasia 34,101.7,"15E29'35""","51N55'36""",WGS84,0.7943282347242815,43.0,15.493056,51.926667,POINT (15.493056 51.926667)
Radio ZET,Zielona Góra Wilkanów,107.0,"15E27'33""","51N54'54""",WGS84,0.09999999999999998,60.0,15.459167,51.915,POINT (15.459167 51.915)
"Meloradio 87,9",Bielsko-Biała Góra Szyndzielnia,87.9,"19E00'05""","49N45'35""",WGS84,0.09999999999999998,16.0,19.001389,49.759722,POINT (19.001389 49.759722)
RMF FM,Bielsko-Biała g. Klimczok,89.2,"18E59'38""","49N44'21""",WGS84,0.09999999999999998,26.0,18.993889,49.739167,POINT (18.993889 49.739167)
Program 2,"Bielsko-Biała, ul. Armii Krajowej 220",104.5,"19E01'34""","49N47'02""",WGS84,0.09999999999999998,35.0,19.026111,49.783889,POINT (19.026111 49.783889)
Radio Maryja,Brzesko ul. Przemyslowa 1,98.7,"20E37'35""","49N58'24""",WGS84,0.19952623149688797,90.0,20.626389,49.973333,POINT (20.626389 49.973333)
Radio Maryja,Brzesko ul. Przemysłowa 1,98.7,"20E37'35""","49N58'24""",WGS84,0.5011872336272722,90.0,20.626389,49.973333,POINT (20.626389 49.973333)
PR I,86-300 Grudziądz ul. Kalinkowa 76,99.6,"18E44'23""","53N28'30""",WGS84,0.1819700858609984,42.0,18.739722,53.475,POINT (18.739722 53.475)
Program 1,Grudziądz ul. Kalinkowa 72,99.6,"18E44'23""","53N28'32""",WGS84,0.1819700858609984,45.0,18.739722,53.475556,POINT (18.739722 53.475556)
Radio Maryja,Jastrzębie-Zdrój ul. Rybnicka 6,102.5,"18E37'33""","49N57'51""",WGS84,0.5011872336272722,120.0,18.625833,49.964167,POINT (18.625833 49.964167)
RMF MAXXX - Pomorze,"Darłowo, ul. Wojska Polskiego",103.9,"16E24'43""","54N24'39""",WGS84,0.09999999999999998,55.0,16.411944,54.410833,POINT (16.411944 54.410833)
"Radio ZET Gold 96,4",Dzierżoniów ul. Pocztowa 5,96.4,"16E38'54""","50N43'40""",WGS84,0.1513561248436208,50.0,16.648333,50.727778,POINT (16.648333 50.727778)
PR IV,"Jagodnik, 82-300 Milejewo",101.2,"19E29'41""","54N12'28""",WGS84,0.251188643150958,87.0,19.494722,54.207778,POINT (19.494722 54.207778)
Program 4 - Polskie Radio 24,Elbląg Jagodnik,101.2,"19E29'41""","54N12'28""",WGS84,0.251188643150958,87.0,19.494722,54.207778,POINT (19.494722 54.207778)
Radio ZET,Gorzów Wielkopolski ul. Podmiejska,99.6,"15E16'34""","52N44'15""",WGS84,0.19952623149688797,97.0,15.276111,52.7375,POINT (15.276111 52.7375)
Radio ZET,Gorzów Wielkopolski ul. Podmiejska,99.6,"15E16'34""","52N44'15""",WGS84,0.19952623149688797,97.0,15.276111,52.7375,POINT (15.276111 52.7375)
Program 2,Męcina,99.1,"20E33'56""","49N39'11""",WGS84,0.5011872336272722,64.0,20.565556,49.653056,POINT (20.565556 49.653056)
Radio Maryja,Grójec ul. Worowska 1,99.8,"20E51'46""","51N52'06""",WGS84,0.09999999999999998,30.0,20.862778,51.868333,POINT (20.862778 51.868333)
ESKA Grudziądz,"Grudziądz, ul. Kalinkowa 72",90.6,"18E44'23""","53N28'32""",WGS84,0.09999999999999998,45.0,18.739722,53.475556,POINT (18.739722 53.475556)
"Meloradio 90,2","Iława, ul. Lubawska 3",90.2,"19E34'45""","53N35'01""",WGS84,0.5011872336272722,30.0,19.579167,53.583611,POINT (19.579167 53.583611)
Antyradio,Zielona Góra Jemiołów,98.4,"15E16'34""","52N20'49""",WGS84,0.3981071705534972,124.0,15.276111,52.346944,POINT (15.276111 52.346944)
Antyradio,Zielona Góra Jemiołów,98.4,"15E16'34""","52N20'49""",WGS84,0.3981071705534972,124.0,15.276111,52.346944,POINT (15.276111 52.346944)
Radio ZET,Nysa,98.6,"17E19'42""","50N28'28""",WGS84,1.0,77.0,17.328333,50.474444,POINT (17.328333 50.474444)
Radio ZET,Nysa,98.6,"17E19'42""","50N28'28""",WGS84,1.0,77.0,17.328333,50.474444,POINT (17.328333 50.474444)
Radio Maryja,Kraśnik ul. Lubelska 91,98.0,"22E14'36""","50N55'41""",WGS84,0.19952623149688797,43.0,22.243333,50.928056,POINT (22.243333 50.928056)
Radio Maryja,Kraśnik Kolonia Czubówka dz. 1062/6,98.0,"22E12'11""","50N58'39""",WGS84,0.19952623149688797,94.0,22.203056,50.9775,POINT (22.203056 50.9775)
RMF MAXXX - Krosno,Czarnorzeki,97.6,"21E48'49""","49N45'22""",WGS84,0.09999999999999998,76.0,21.813611,49.756111,POINT (21.813611 49.756111)
RDN Nowy Sącz,Krynica Góra Jaworzyna,88.3,"20E53'43""","49N25'01""",WGS84,0.5011872336272722,34.0,20.895278,49.416944,POINT (20.895278 49.416944)
RDN Nowy Sącz,Krynica Góra Jaworzyna,88.3,"20E53'43""","49N25'01""",WGS84,0.5011872336272722,34.0,20.895278,49.416944,POINT (20.895278 49.416944)
RMF FM,Legnica,96.1,"16E09'18""","51N12'26""",WGS84,1.0,82.0,16.155,51.207222,POINT (16.155 51.207222)
Radio ELKA,"Leszno, ul. Spółdzielcza 12",98.5,"16E33'48""","51N51'40""",WGS84,1.0,100.0,16.563333,51.861111,POINT (16.563333 51.861111)
TOK FM - Pierwsze Radio Informacyjne,"Gorzów Wielkopolski, ul. Niemcewicza 5",87.9,"15E12'23""","52N44'12""",WGS84,0.7943282347242815,73.0,15.206389,52.736667,POINT (15.206389 52.736667)
TOK FM - Pierwsze Radio Informacyjne,"Gorzów Wielkopolski, ul. Niemcewicza 5",87.9,"15E12'23""","52N44'12""",WGS84,0.7943282347242815,73.0,15.206389,52.736667,POINT (15.206389 52.736667)
Radio Maryja,Lubań Stóg Izerski,95.2,"15E18'13""","50N53'27""",WGS84,1.9952623149688797,30.0,15.303611,50.890833,POINT (15.303611 50.890833)
Radio Maryja,Mielec ul. Solskiego 1,89.8,"21E26'08""","50N17'58""",WGS84,1.0,50.0,21.435556,50.299444,POINT (21.435556 50.299444)
Radio Regionalne,"Mielec, ul. Solskiego 1",96.4,"21E26'12""","50N17'50""",WGS84,1.0,56.0,21.436667,50.297222,POINT (21.436667 50.297222)
Radio Maryja,Mrągowo Młynowo,88.4,"21E20'17""","53N53'17""",WGS84,0.19952623149688797,72.0,21.338056,53.888056,POINT (21.338056 53.888056)
Złote Przeboje Echo,Jaworzyna Krynicka,91.3,"20E53'42""","49N25'02""",WGS84,0.09999999999999998,37.0,20.895,49.417222,POINT (20.895 49.417222)
Radio Maryja,Nysa,100.4,"17E20'27""","50N28'43""",WGS84,1.0,72.0,17.340833,50.478611,POINT (17.340833 50.478611)
Radio Opatów,"Opatów, ul. Leszka Czarnego 64",93.7,"21E24'38""","50N47'48""",WGS84,0.251188643150958,35.0,21.410556,50.796667,POINT (21.410556 50.796667)
Radio CCM,"Oświęcim, ul. Chemików 1",94.9,"19E16'27""","50N02'22""",WGS84,1.0,90.0,19.274167,50.039444,POINT (19.274167 50.039444)
Radio CCM,"Oświęcim, ul. Chemików 1",94.9,"19E16'27""","50N02'22""",WGS84,1.0,90.0,19.274167,50.039444,POINT (19.274167 50.039444)
Radio Maryja,Piła ul. Złota 1,100.4,"16E43'26""","53N09'36""",WGS84,0.30199517204020165,43.0,16.723889,53.16,POINT (16.723889 53.16)
RMF MAXXX - Kraków,"Kraków, ul. Malczewskiego 45",96.7,"19E54'25""","50N03'01""",WGS84,1.9952623149688797,128.0,19.906944,50.050278,POINT (19.906944 50.050278)
EXPRESS FM,"Łaziska Górne, ul. Wyzwolenia 30",92.3,"18E50'40""","50N08'04""",WGS84,1.0,190.0,18.844444,50.134444,POINT (18.844444 50.134444)
VOX FM,"Siedlce, ul. Starzyńskiego 7",91.3,"22E18'19""","52N09'39""",WGS84,0.09999999999999998,58.0,22.305278,52.160833,POINT (22.305278 52.160833)
VOX FM,"Siedlce, ul. Terespolska 12",91.3,"22E18'38""","52N09'21""",WGS84,0.3981071705534972,62.0,22.310556,52.155833,POINT (22.310556 52.155833)
Radio Lokalne,Gorzów Wielkopolski ul. Energetyków 6,95.6,"15E16'18""","52N45'00""",WGS84,1.0,153.0,15.271667,52.75,POINT (15.271667 52.75)
Radio Regionalne,"Bierkowo, gmina Słupsk",102.0,"16E56'30""","54N29'07""",WGS84,1.0,108.0,16.941667,54.485278,POINT (16.941667 54.485278)
Program 1,"Stalowa Wola, ul. Okulickiego 1B",98.3,"22E03'29""","50N34'04""",WGS84,0.09999999999999998,65.0,22.058056,50.567778,POINT (22.058056 50.567778)
Radio Rekord Kielce,"Ostrowiec Świętokrzyski, ul. Samsonowicza 2",100.9,"21E26'45""","50N56'52""",WGS84,0.09999999999999998,110.0,21.445833,50.947778,POINT (21.445833 50.947778)
Radio Maryja,Starogard Gdański Jabłowo,87.6,"18E34'48""","53N55'18""",WGS84,0.30199517204020165,45.0,18.58,53.921667,POINT (18.58 53.921667)
Radio 5,"Suwałki, ul .Przemysłowa 6a",91.2,"22E58'02""","54N06'16""",WGS84,0.5011872336272722,80.0,22.967222,54.104444,POINT (22.967222 54.104444)
ESKA Tarnów,Lichwin Góra Wał,98.1,"20E54'37""","49N53'03""",WGS84,1.9952623149688797,45.0,20.910278,49.884167,POINT (20.910278 49.884167)
Radio Strefa FM Piotrków,"Piotrków Trybunalski, ul. Rolnicza 75",98.2,"19E41'08""","51N25'28""",WGS84,0.5011872336272722,92.0,19.685556,51.424444,POINT (19.685556 51.424444)
Radio Maryja,Kalwaria Zebrzydowska ul. Bernardyńska 46,94.3,"19E40'13""","49N51'36""",WGS84,0.19952623149688797,50.0,19.670278,49.86,POINT (19.670278 49.86)
"Złote Przeboje 91,8 FM",Wałbrzych Chełmiec,91.8,"16E12'39""","50N46'45""",WGS84,0.19952623149688797,22.0,16.210833,50.779167,POINT (16.210833 50.779167)
Radio Maryja,"Giżycko Gajewo, ul. Leśna 58",100.2,"21E47'09""","54N03'19""",WGS84,1.0,72.0,21.785833,54.055278,POINT (21.785833 54.055278)
Radio Ziemi Wieluńskiej,"Wieluń, ul. Częstochowska",88.6,"18E34'28""","51N12'57""",WGS84,0.5011872336272722,42.0,18.574444,51.215833,POINT (18.574444 51.215833)
Radio Plus Podhale,Zakopane Gubałówka,107.9,"19E56'11""","49N18'29""",WGS84,0.09999999999999998,39.0,19.936389,49.308056,POINT (19.936389 49.308056)
Program 4 - Polskie Radio 24,Lubań Stóg Izerski,90.6,"15E18'20""","50N53'29""",WGS84,1.0,50.0,15.305556,50.891389,POINT (15.305556 50.891389)
RMF Classic,"Elbląg, ul. Królewiecka 217",91.2,"19E26'08""","54N11'03""",WGS84,0.20892961308540392,53.0,19.435556,54.184167,POINT (19.435556 54.184167)
Złote Przeboje Echo,Szczawnica Góra Przehyba,93.8,"20E33'19""","49N28'01""",WGS84,0.5011872336272722,54.0,20.555278,49.466944,POINT (20.555278 49.466944)
Radio Maryja,Ciechanowiec,97.0,"22E30'37""","52N39'59""",WGS84,1.9952623149688797,47.0,22.510278,52.666389,POINT (22.510278 52.666389)
Radio Emaus,"Lwówek, Józefowo",90.4,"16E10'38""","52N26'06""",WGS84,0.5011872336272722,80.0,16.177222,52.435,POINT (16.177222 52.435)
Radio Ziemi Wieluńskiej,Niżankowice,97.7,"18E47'51""","51N09'10""",WGS84,0.1513561248436208,30.0,18.7975,51.152778,POINT (18.7975 51.152778)
WEEKEND FM,"Sępólno Krajeńskie, ul. Przemysłowa 5",92.6,"17E32'59""","53N27'22""",WGS84,1.0,32.0,17.549722,53.456111,POINT (17.549722 53.456111)
ESKA Ostrów-Kalisz,Kalisz Chełmce,101.1,"18E10'02""","51N42'04""",WGS84,1.9952623149688797,67.0,18.167222,51.701111,POINT (18.167222 51.701111)
RADIO i,Mońki ul. Ks. Małynicza 1,90.9,"22E47'33""","53N24'19""",WGS84,0.19952623149688797,35.0,22.7925,53.405278,POINT (22.7925 53.405278)
WEEKEND FM,"Chojnice, ul. Towarowa 17 a",99.3,"17E34'56""","53N41'41""",WGS84,1.9952623149688797,72.0,17.582222,53.694722,POINT (17.582222 53.694722)
RMF MAXXX Mazowsze,Ciechanów,89.6,"20E36'14""","52N51'23""",WGS84,0.09999999999999998,123.0,20.603889,52.856389,POINT (20.603889 52.856389)
RMF MAXXX Mazowsze,Ciechanów,89.6,"20E36'14""","52N51'23""",WGS84,0.09999999999999998,123.0,20.603889,52.856389,POINT (20.603889 52.856389)
Radio Kaszebe,"Kościerzyna, ul. Sienkiewicza 15",90.1,"17E58'13""","54N07'25""",WGS84,1.0,50.0,17.970278,54.123611,POINT (17.970278 54.123611)
Radio CCM,"Cieszyn, ul. Bielska 1",90.5,"18E38'25""","49N44'32""",WGS84,0.09999999999999998,70.0,18.640278,49.742222,POINT (18.640278 49.742222)
Radio CCM,"Cieszyn, ul. Bielska 1",90.5,"18E38'25""","49N44'32""",WGS84,0.09999999999999998,70.0,18.640278,49.742222,POINT (18.640278 49.742222)
RMF MAXXX-Pomorze,Czarnówko k. Lęborka,102.9,"17E42'06""","54N34'17""",WGS84,1.0,72.0,17.701667,54.571389,POINT (17.701667 54.571389)
Radio Maryja,Łomża ul. Wojska Polskiego 169,101.3,"22E01'56""","53N10'14""",WGS84,3.0199517204020143,128.0,22.032222,53.170556,POINT (22.032222 53.170556)
Radio Rekord FM,"Radom, ul. Żelazna 18",106.2,"21E06'26""","51N21'19""",WGS84,1.0,115.0,21.107222,51.355278,POINT (21.107222 51.355278)
Radio Rekord FM,"Radom, ul. Przytycka 2",106.2,"21E06'50""","51N24'29""",WGS84,1.0,115.0,21.113889,51.408056,POINT (21.113889 51.408056)
Chilli Zet,"Warszawa, ul. Chłodna 51",101.5,"20E58'57""","52N14'07""",WGS84,0.5370317963702528,205.0,20.9825,52.235278,POINT (20.9825 52.235278)
muzo.fm,Warszawa Rondo ONZ 1,102.0,"20E59'57""","52N13'58""",WGS84,1.0,185.0,20.999167,52.232778,POINT (20.999167 52.232778)
ESKA Rock,"Warszawa, ul. Chmielna 69/73",102.0,"21E00'00""","52N13'44""",WGS84,1.0,277.0,21.0,52.228889,POINT (21 52.228889)
Antyradio,Warszawa Plac Defilad 1,106.8,"21E00'22""","52N13'54""",WGS84,0.3981071705534972,204.0,21.006111,52.231667,POINT (21.006111 52.231667)
Antyradio,"Warszawa PKiN, Pl. Defilad 1",106.8,"21E00'22""","52N13'54""",WGS84,0.3981071705534972,202.0,21.006111,52.231667,POINT (21.006111 52.231667)
Radio Plus Głogów,"Głogów Jakubów, działka 125/7, wieża radia Maryja",107.3,"16E00'31""","51N35'43""",WGS84,0.19952623149688797,57.0,16.008611,51.595278,POINT (16.008611 51.595278)
Radio Plus Głogów,Głogów,107.3,"16E00'31""","51N35'43""",WGS84,0.19952623149688797,57.0,16.008611,51.595278,POINT (16.008611 51.595278)
Program 2,"Konin, Al. 1 Maja 13",95.0,"18E15'00""","52N13'42""",WGS84,1.0,54.0,18.25,52.228333,POINT (18.25 52.228333)
Program 2,"Konin,ul.11 Listopada17",95.0,"18E16'19""","52N13'49""",WGS84,1.0,53.0,18.271944,52.230278,POINT (18.271944 52.230278)
"Meloradio 99,6","Krzymów, Potażniki, dz. 1471",99.6,"18E19'30""","52N10'19""",WGS84,1.3489628825916538,47.0,18.325,52.171944,POINT (18.325 52.171944)
"Radio Złote Przeboje 100,1 FM","Warszawa, Al. Jerozolimskie 65/97",100.1,"21E00'11""","52N13'38""",WGS84,3.9810717055349727,175.0,21.003056,52.227222,POINT (21.003056 52.227222)
Radio Maryja,Kudowa / Jerzykowice,90.1,"16E15'47""","50N26'03""",WGS84,0.09999999999999998,45.0,16.263056,50.434167,POINT (16.263056 50.434167)
Radio Maryja,Kwidzyn ul. Południowa 14A,87.9,"18E55'26""","53N43'13""",WGS84,0.09999999999999998,40.0,18.923889,53.720278,POINT (18.923889 53.720278)
Radio Sochaczew,"Sochaczew, ul. Chodakowska 10",94.9,"20E16'27""","52N15'24""",WGS84,1.0,71.0,20.274167,52.256667,POINT (20.274167 52.256667)
PR II,"21-500 Biała Podlaska, ul. Solidarności 4",98.3,"23E11'16""","52N02'17""",WGS84,0.09999999999999998,72.0,23.187778,52.038056,POINT (23.187778 52.038056)
Program 2,"21-500 Biała Podlaska, ul. Solidarności 4",98.3,"23E11'16""","52N02'17""",WGS84,0.09999999999999998,72.0,23.187778,52.038056,POINT (23.187778 52.038056)
Radio Bartoszyce,Bartoszyce ul. Kajki 8,90.9,"20E49'07""","54N15'15""",WGS84,0.251188643150958,30.0,20.818611,54.254167,POINT (20.818611 54.254167)
Radio Bartoszyce,Sędławki 24,90.9,"20E50'07""","54N13'53""",WGS84,0.5011872336272722,40.0,20.835278,54.231389,POINT (20.835278 54.231389)
Radio Gniezno,"Gniezno, ul. Sobieskiego 20",104.3,"17E36'15""","52N31'59""",WGS84,0.5011872336272722,58.0,17.604167,52.533056,POINT (17.604167 52.533056)
Radio Maryja,"Chełm, ul Towarowa 9",102.8,"23E29'42""","51N08'55""",WGS84,1.9952623149688797,102.0,23.495,51.148611,POINT (23.495 51.148611)
Program 4 - Polskie Radio 24,"Kutno, ul. Metalowa 10",96.9,"19E24'16""","52N12'34""",WGS84,1.0,146.0,19.404444,52.209444,POINT (19.404444 52.209444)
ESKA Płock,"Płock, ul. Kochanowskiego 1",95.2,"19E41'49""","52N32'57""",WGS84,0.09999999999999998,55.0,19.696944,52.549167,POINT (19.696944 52.549167)
muzo.fm,"Poznań, ul. Gdyńska 54",93.9,"16E59'23""","52N26'08""",WGS84,0.3981071705534972,200.0,16.989722,52.435556,POINT (16.989722 52.435556)
PR II,"87-800 Włocławek, ul. Dobrzyńska 26",93.9,"19E05'40""","52N40'21""",WGS84,1.0,87.0,19.094444,52.6725,POINT (19.094444 52.6725)
Program 2,"87-800 Włocławek, ul. Dobrzyńska 26",93.9,"19E05'40""","52N40'21""",WGS84,1.0,87.0,19.094444,52.6725,POINT (19.094444 52.6725)
RMF MAXXX Włocławek,"Włocławek Zawiśle, ul. Chełmicka",89.2,"19E04'55""","52N40'21""",WGS84,0.5011872336272722,33.0,19.081944,52.6725,POINT (19.081944 52.6725)
RMF MAXXX Włocławek,"Włocławek Zawiśle, ul. Chełmicka",89.2,"19E04'55""","52N40'21""",WGS84,0.5011872336272722,33.0,19.081944,52.6725,POINT (19.081944 52.6725)
ESKA Kraśnik,"Kraśnik, Kolonia Czubówka dz. nr 1062/6",92.8,"22E12'11""","50N58'39""",WGS84,0.19952623149688797,94.0,22.203056,50.9775,POINT (22.203056 50.9775)
Meloradio,"Kluczbork, ul. Młyńska 8",93.2,"18E11'49""","50N58'23""",WGS84,0.30199517204020165,55.0,18.196944,50.973056,POINT (18.196944 50.973056)
Radio Regionalne,Włocławek ul. Dobrzyńska 26,100.3,"19E05'39""","52N40'21""",WGS84,1.0,85.0,19.094167,52.6725,POINT (19.094167 52.6725)
RADIO DOXA,"Nysa, ul. Św. Piotra 1",96.7,"17E19'17""","50N28'53""",WGS84,0.19952623149688797,35.0,17.321389,50.481389,POINT (17.321389 50.481389)
Program 4 - Polskie Radio 24,"Kędzierzyn Kożle, ul. Piramowicza",97.3,"18E08'39""","50N20'10""",WGS84,0.09999999999999998,63.0,18.144167,50.336111,POINT (18.144167 50.336111)
RMF Classic,"Kielce, ul. Hubalczyków 30",99.0,"20E36'58""","50N53'53""",WGS84,1.0,200.0,20.616111,50.898056,POINT (20.616111 50.898056)
Program 2,Kraków Krzemionki ul. Krzemionki 29,102.0,"19E56'46""","50N02'20""",WGS84,1.0,56.0,19.946111,50.038889,POINT (19.946111 50.038889)
Radio Regionalne,Tarnobrzeg Komin Machów,90.3,"21E38'26""","50N31'28""",WGS84,1.0,108.0,21.640556,50.524444,POINT (21.640556 50.524444)
Radio Regionalne,komin Machów,90.3,"21E38'26""","50N31'28""",WGS84,1.0,108.0,21.640556,50.524444,POINT (21.640556 50.524444)
Radio Maryja,Tarnobrzeg ul. Zakładowa 50,94.4,"21E38'19""","50N31'27""",WGS84,1.0,108.0,21.638611,50.524167,POINT (21.638611 50.524167)
RMF CLASSIC - Warszawa,Warszawa Rondo ONZ 1,98.3,"20E59'58""","52N13'58""",WGS84,0.5011872336272722,192.0,20.999444,52.232778,POINT (20.999444 52.232778)
RMF CLASSIC - Warszawa,"Warszawa, ul. Chmielna 69/73",98.3,"21E00'00""","52N13'44""",WGS84,0.5011872336272722,277.0,21.0,52.228889,POINT (21 52.228889)
RADIO PARK,Wysoka G. Św. Anny,93.9,"18E09'12""","50N27'56""",WGS84,3.0199517204020143,65.0,18.153333,50.465556,POINT (18.153333 50.465556)
Radio Maryja,Miastko,96.8,"16E58'39""","54N01'14""",WGS84,0.6025595860743578,70.0,16.9775,54.020556,POINT (16.9775 54.020556)
Radio ELKA,"Gostyń, ul. Wielkopolska 1",95.9,"17E01'05""","51N50'29""",WGS84,0.050118723362727206,22.0,17.018056,51.841389,POINT (17.018056 51.841389)
Program 4 - Polskie Radio 24,Feliksówka,95.3,"23E15'39""","50N36'30""",WGS84,1.0,77.0,23.260833,50.608333,POINT (23.260833 50.608333)
ESKA Zamość,Zamość Feliksówka,97.3,"23E15'43""","50N36'35""",WGS84,1.0,77.0,23.261944,50.609722,POINT (23.261944 50.609722)
"AntyRadio 106,4 FM","Będzin, ul. Pokoju 14",89.8,"19E08'33""","50N21'00""",WGS84,0.09999999999999998,150.0,19.1425,50.35,POINT (19.1425 50.35)
"AntyRadio 106,4 FM","Będzin, ul. Żeromskiego dz. nr 23/5",89.8,"19E07'19""","50N18'27""",WGS84,0.2818382931264453,90.0,19.121944,50.3075,POINT (19.121944 50.3075)
Radio Maryja,"Lublin, ul. Inżynierska 4",97.0,"22E33'28""","51N12'57""",WGS84,1.0,153.0,22.557778,51.215833,POINT (22.557778 51.215833)
RMF MAXXX - Podlasie,Łomża Szosa Zambrowska,97.5,"22E05'38""","53N09'45""",WGS84,0.19952623149688797,71.0,22.093889,53.1625,POINT (22.093889 53.1625)
Radio Maryja,Nowa Ruda Słupiec,99.1,"16E31'36""","50N33'04""",WGS84,0.09999999999999998,16.0,16.526667,50.551111,POINT (16.526667 50.551111)
Meloradio,"Opole, ul. Harcerska 15",106.2,"17E54'56""","50N41'06""",WGS84,1.0,152.0,17.915556,50.685,POINT (17.915556 50.685)
Radio PLUS Gorzów,Słubice ul. Wojska Polskiego 140,90.6,"14E33'48""","52N21'26""",WGS84,0.09999999999999998,30.0,14.563333,52.357222,POINT (14.563333 52.357222)
ESKA Łomża,"Łomża, ul. Szosa Zambrowska",88.8,"22E05'31""","53N09'33""",WGS84,1.0,73.0,22.091944,53.159167,POINT (22.091944 53.159167)
Program 4 - Polskie Radio 24,"Sieradz, ul. Zachodnia 2",93.1,"18E41'51""","51N35'56""",WGS84,0.09999999999999998,95.0,18.6975,51.598889,POINT (18.6975 51.598889)
Radio Maryja,Sieradz ul. Zachodnia 2,95.2,"18E41'58""","51N36'09""",WGS84,1.0,70.0,18.699444,51.6025,POINT (18.699444 51.6025)
NASZE RADIO,"Sieradz, ul. Elewatorowa 1",104.7,"18E47'53""","51N36'38""",WGS84,3.9810717055349727,52.0,18.798056,51.610556,POINT (18.798056 51.610556)
Radio Maryja,Bytów ul. Przemysłowa 5,90.4,"17E29'46""","54N10'52""",WGS84,0.5011872336272722,47.0,17.496111,54.181111,POINT (17.496111 54.181111)
VOX FM,Katowice Kosztowy,95.5,"19E06'59""","50N11'19""",WGS84,0.5011872336272722,238.0,19.116389,50.188611,POINT (19.116389 50.188611)
VOX FM,Katowice Kosztowy,95.5,"19E06'59""","50N11'19""",WGS84,0.5011872336272722,238.0,19.116389,50.188611,POINT (19.116389 50.188611)
Radio CCM,"Gliwice, ul. Tarnogórska 129",93.4,"18E41'12""","50N18'46""",WGS84,1.9952623149688797,100.0,18.686667,50.312778,POINT (18.686667 50.312778)
Radio CCM,"Gliwice, ul. Tarnogórska 129",93.4,"18E41'12""","50N18'46""",WGS84,1.9952623149688797,100.0,18.686667,50.312778,POINT (18.686667 50.312778)
VOX FM,"Płock, ul. Kochanowskiego 1",90.4,"19E41'49""","52N32'57""",WGS84,0.5011872336272722,55.0,19.696944,52.549167,POINT (19.696944 52.549167)
VOX FM,"Płock, ul. Kochanowskiego 1",90.4,"19E41'49""","52N32'57""",WGS84,0.5011872336272722,55.0,19.696944,52.549167,POINT (19.696944 52.549167)
ESKA Małopolska,"Bochnia, ul. Brzeźnicka 103",106.8,"20E27'23""","49N57'39""",WGS84,1.0,24.0,20.456389,49.960833,POINT (20.456389 49.960833)
Radio Bogoria,"Grodzisk Mazowiecki, ul. ks. J. Poniatowskiego 5",94.5,"20E36'45""","52N07'43""",WGS84,1.0,44.0,20.6125,52.128611,POINT (20.6125 52.128611)
WAWA Rzeszów,Czarnorzeki,92.6,"21E49'58""","49N44'20""",WGS84,1.0,60.0,21.832778,49.738889,POINT (21.832778 49.738889)
WAWA Rzeszów,Czarnorzeki,92.6,"21E49'58""","49N44'20""",WGS84,1.0,60.0,21.832778,49.738889,POINT (21.832778 49.738889)
Program 2,"Przemyśl, ul. Przemysława 33",94.1,"22E45'57""","49N46'24""",WGS84,1.0,58.0,22.765833,49.773333,POINT (22.765833 49.773333)
ESKA Iława,"Iława, ul. Wojska Polskiego 23",89.0,"19E34'13""","53N34'51""",WGS84,0.09999999999999998,115.0,19.570278,53.580833,POINT (19.570278 53.580833)
ESKA Przemyśl,"Przemyśl, ul. E. Plater 8",90.3,"22E47'04""","49N48'00""",WGS84,0.09999999999999998,80.0,22.784444,49.8,POINT (22.784444 49.8)
Radio Katolickie Zbrosza Duża,Zbrosza Duża,95.1,"20E57'35""","51N45'30""",WGS84,0.09999999999999998,30.0,20.959722,51.758333,POINT (20.959722 51.758333)
muzo.fm,"Olsztyn, ul. Budowlana 2",92.4,"20E31'59""","53N46'57""",WGS84,0.5011872336272722,108.0,20.533056,53.7825,POINT (20.533056 53.7825)
BAYER FM,Ełk ul. Ciepła 2,90.7,"22E22'28""","53N49'00""",WGS84,0.09999999999999998,80.0,22.374444,53.816667,POINT (22.374444 53.816667)
Program 4 - Polskie Radio 24,"Stalowa Wola, ul. Okulickiego 1B",97.7,"22E03'29""","50N34'04""",WGS84,0.09999999999999998,65.0,22.058056,50.567778,POINT (22.058056 50.567778)
Radio CCM,Góra Szyndzielnia,97.6,"19E00'09""","49N45'19""",WGS84,0.1513561248436208,18.0,19.0025,49.755278,POINT (19.0025 49.755278)
Radio CCM,Góra Szyndzielnia schronisko,97.6,"19E00'09""","49N45'19""",WGS84,0.1513561248436208,18.0,19.0025,49.755278,POINT (19.0025 49.755278)
Radio Leliwa,Machów,104.7,"21E38'19""","50N31'27""",WGS84,0.9549925860214361,130.0,21.638611,50.524167,POINT (21.638611 50.524167)
RMF Classic,"Opole, ul. Harcerska 15",97.5,"17E55'13""","50N41'12""",WGS84,0.19952623149688797,152.0,17.920278,50.686667,POINT (17.920278 50.686667)
